epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
272,151.729,0.78724,1.59287,0.87309,1.02968,0.81933,0.62083,0.66827,0.55763,0.81432,0.60385,0.64402,0.47143,0.79429,1.8265,1.30099,1.06907,0.000439876,0.000439876,0.000439876
273,302.599,0.77956,1.60133,0.86551,1.02995,0.81975,0.61818,0.66745,0.55776,0.8148,0.60401,0.6449,0.47166,0.79334,1.82363,1.29631,1.06815,0.000436794,0.000436794,0.000436794
274,453.696,0.77072,1.57375,0.86606,1.02215,0.83165,0.61938,0.66729,0.5574,0.8208,0.60529,0.64517,0.47386,0.79196,1.82353,1.30016,1.0665,0.000433715,0.000433715,0.000433715
275,604.299,0.78597,1.60575,0.88399,1.02598,0.83067,0.61941,0.66885,0.55713,0.82435,0.60821,0.64871,0.47564,0.79271,1.82089,1.30016,1.06724,0.000430638,0.000430638,0.000430638
276,755.258,0.77819,1.60089,0.87228,1.02264,0.82779,0.61891,0.66832,0.55814,0.82102,0.60901,0.64783,0.47494,0.79382,1.82756,1.30458,1.06856,0.000427565,0.000427565,0.000427565
277,906.594,0.76625,1.55457,0.84337,1.01279,0.8195,0.62071,0.66811,0.55762,0.83036,0.60698,0.64653,0.47412,0.79286,1.82928,1.30601,1.0685,0.000424495,0.000424495,0.000424495
278,1057.16,0.77663,1.57469,0.85319,1.01541,0.83745,0.6128,0.66788,0.55754,0.8367,0.60654,0.64722,0.47461,0.79152,1.8288,1.3096,1.06638,0.000421427,0.000421427,0.000421427
279,1207.83,0.78037,1.61026,0.87812,1.02111,0.83128,0.61689,0.66827,0.55711,0.83518,0.60732,0.64681,0.47354,0.78959,1.82435,1.30961,1.06339,0.000418364,0.000418364,0.000418364
280,1358.81,0.78101,1.59213,0.86545,1.02229,0.83126,0.61246,0.66762,0.55627,0.83154,0.60461,0.64558,0.47351,0.78896,1.82126,1.30922,1.06211,0.000415303,0.000415303,0.000415303
281,1509.11,0.77272,1.56737,0.85877,1.01943,0.83229,0.61028,0.66717,0.55622,0.83101,0.60243,0.6451,0.47483,0.79032,1.82558,1.31018,1.06246,0.000412246,0.000412246,0.000412246
282,1660,0.77988,1.59696,0.8782,1.02714,0.83699,0.61113,0.6674,0.55702,0.83173,0.60534,0.64542,0.4752,0.79231,1.8247,1.30872,1.06225,0.000409193,0.000409193,0.000409193
283,1810.8,0.78483,1.59761,0.85855,1.02139,0.86084,0.59757,0.66784,0.55692,0.8569,0.59241,0.64603,0.4739,0.79147,1.8254,1.30869,1.06177,0.000406144,0.000406144,0.000406144
284,1961.54,0.7843,1.60539,0.85749,1.02972,0.8505,0.60382,0.66815,0.55723,0.8456,0.59634,0.64659,0.47417,0.79085,1.82765,1.3115,1.06132,0.000403098,0.000403098,0.000403098
285,2112.31,0.76869,1.58113,0.85576,1.02254,0.83823,0.60566,0.66729,0.55765,0.83475,0.59871,0.64724,0.47532,0.79069,1.82661,1.31497,1.06192,0.000400056,0.000400056,0.000400056
286,2263.59,0.76063,1.55553,0.84243,1.01523,0.82221,0.61144,0.66634,0.55617,0.84733,0.58801,0.64658,0.47544,0.7919,1.82881,1.31241,1.06366,0.000397019,0.000397019,0.000397019
287,2414.67,0.76341,1.56848,0.85063,1.02224,0.80898,0.62001,0.66554,0.5561,0.86121,0.58367,0.64632,0.47555,0.79174,1.82826,1.31116,1.06325,0.000393986,0.000393986,0.000393986
288,2566.04,0.76922,1.58979,0.85838,1.025,0.80585,0.61904,0.6653,0.55491,0.8546,0.58598,0.64548,0.47334,0.79028,1.83175,1.30637,1.06172,0.000390957,0.000390957,0.000390957
289,2717.32,0.76499,1.55776,0.84737,1.01653,0.8538,0.59967,0.66593,0.55637,0.85216,0.59134,0.64583,0.47383,0.78822,1.83216,1.30959,1.05838,0.000387933,0.000387933,0.000387933
290,2869.9,0.75749,1.54282,0.81933,1.01158,0.85697,0.59531,0.66587,0.55631,0.85387,0.58932,0.64562,0.47362,0.78684,1.83661,1.3074,1.05706,0.000384913,0.000384913,0.000384913
291,3021.29,0.77537,1.5996,0.8581,1.02586,0.84629,0.60166,0.66545,0.55712,0.84528,0.59465,0.64562,0.47439,0.78679,1.83904,1.31078,1.05737,0.000381899,0.000381899,0.000381899
292,3172.5,0.77492,1.58122,0.85134,1.02199,0.84989,0.60082,0.66567,0.5561,0.85145,0.59033,0.64441,0.47407,0.7857,1.839,1.31106,1.05718,0.000378888,0.000378888,0.000378888
293,3322.95,0.76489,1.58427,0.8572,1.02188,0.85019,0.60213,0.66625,0.55673,0.84348,0.594,0.64459,0.47327,0.78519,1.83995,1.30786,1.05692,0.000375883,0.000375883,0.000375883
294,3473.47,0.76925,1.58004,0.85682,1.02278,0.84687,0.6024,0.66608,0.55818,0.8431,0.59279,0.64455,0.47312,0.78591,1.83938,1.30513,1.05773,0.000372884,0.000372884,0.000372884
295,3623.65,0.77134,1.57013,0.84624,1.02171,0.84733,0.6005,0.66631,0.55832,0.84012,0.59281,0.64397,0.47306,0.78643,1.84122,1.30147,1.05857,0.000369889,0.000369889,0.000369889
296,3773.4,0.76747,1.56987,0.85004,1.01963,0.84392,0.60159,0.66728,0.56019,0.83242,0.59645,0.64572,0.47394,0.78446,1.83836,1.29632,1.05742,0.000366899,0.000366899,0.000366899
297,3923.38,0.76404,1.58833,0.83861,1.01539,0.8499,0.59916,0.66708,0.56046,0.83753,0.59333,0.64548,0.47513,0.78604,1.83707,1.2935,1.05832,0.000363915,0.000363915,0.000363915
